image,sku,name,price,description,colors,available sizes
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etb20117_03.jpg,ETB20117____ETB20117_pk,basic brosha kurta,"PKR 3,200",women's top,BLUE,"6,8,10,12"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/t/ctb20163_yellow_1.jpg,CTB20163____CTB20163_pk,basic kurta,"PKR 3,200",women's top,YELLOW,"8,12"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etp20120_yellow_1.jpg,ETP20120____ETP20120_pk,printed kurta,"PKR 2,000",women's top,YELLOW,"12,14"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/t/ctp20123b_5.jpg,CTP20123____CTP20123_pk,printed kurta,"PKR 3,399",women's top,"GREEN,OFF-WHITE","6,8,10,12,14,16"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/t/ctp20131_4.jpg,CTP20131____CTP20131_pk,printed kurta,"PKR 2,000",women's top,"BLUE,RUST","6,8,10,12,14,16,18"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/t/ctp20167_pink_2.jpg,CTP20167____CTP20167_pk,printed kurta,"PKR 2,400",women's top,"PINK,GREEN","10,12,14"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etp20152_green_2_1.jpg,ETP20152____ETP20152_pk,printed kurta,"PKR 3,399",women's top,"GREEN,BEIGE","6,8,10,12,14"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/t/ctp20171_blue_1_1.jpg,CTP20171____CTP20171_pk,printed kurta,"PKR 2,900",women's top,"BLUE,BEIGE","6,8,10,12,14"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/k/ckde20132_03.jpg,CKDE20132____CKDE20132_pk,embroidered kurta with dupatta,"PKR 5,900",kurta dupatta,GREEN,"6,8,10,12"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/k/ckdpe20133_black_1_7.jpg,CKDPE20133____CKDPE20133_pk,embroidered kurta with dupatta,"PKR 5,900",kurta dupatta,BLACK,12
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/k/d/kde20156_beige_1_2.jpg,KDE20156____KDE20156_pk,embroidered kurta with dupatta,"PKR 6,900",kurta dupatta,BEIGE,10
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/k/p/kpp20122_1.jpg,KPP20122____KPP20122_pk,printed kurta with pants,"PKR 3,399",kurta pajama,BLUE,18
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/k/ckpe20124_blue_1.jpg,CKPE20124____CKPE20124_pk,embroidered kurta with pants,"PKR 5,900",kurta pajama,BLUE,"12,14"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/f/s/fsp20114_beige_4.jpg,FSP20114____FSP20114_pk, printed full suit,"PKR 4,801",full suit,BEIGE,"14,16"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/f/s/fspe20127_4_.jpg,FSPE20127____FSPE20127_pk, embroidered full suit,"PKR 5,900",full suit,OFF-WHITE,"6,10"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etej19509_1.jpg,ETEJ19509____ETEJ19509_pk, embroidered kurta,"PKR 4,400",womens top,BLUE,"10,12"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etej19510_1.jpg,ETEJ19510____ETEJ19510_pk, embroidered kurta,"PKR 4,400",womens top,BEIGE,"8,18"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etej19511_1.jpg,ETEJ19511____ETEJ19511_pk, embroidered kurta,"PKR 4,400",womens top,GREEN,"10,12,18"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etpem19516_2.jpg,ETPEM19516____ETPEM19516_pk, embroidered kurta,"PKR 2,001",womens top,ORANGE,6
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etpem19519_purple_3.jpg,ETPEM19519____ETPEM19519_pk, embroidered kurta,"PKR 2,001",womens top,YELLOW,6
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/ete195167_blue__4__1.jpg,ETE195167____ETE195167_pk, embroidered kurta,"PKR 3,399",womens top,BLUE,8
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/ete20110_5.jpg,ETE20110____ETE20110_pk, embroidered kurta,"PKR 4,200",womens top,BLUE,10
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etpe20111_5.jpg,ETPE20111____ETPE20111_pk, print embroidered kurta,"PKR 3,800",womens top,"BEIGE,YELLOW","10,18"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/t/cte20101_5.jpg,CTE20101____CTE20101_pk, embroidered kurta,"PKR 3,200",womens top,BLUE,"6,8,10,12,14"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/t/cte20107_1.jpg,CTE20107____CTE20107_pk, embroidered kurta,"PKR 3,200",womens top,BLUE,"8,10,12"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/t/cte20114_1.jpg,CTE20114____CTE20114_pk, embroidered kurta,"PKR 3,200",womens top,ORANGE,10
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/1/5/159a5130_1.jpg,CTPE20102____CTPE20102_pk, embroidered kurta,"PKR 3,800",womens top,"GREEN,YELLOW","6,8,10,12,14,16,18"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/1/5/159a5273_1.jpg,CTPE20113____CTPE20113_pk, embroidered kurta,"PKR 4,600",womens top,WHITE,10
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/t/ctpe20115_4.jpg,CTPE20115____CTPE20115_pk, embroidered kurta,"PKR 3,800",womens top,GREEN,"8,10,12"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/t/ctp20110_-brown_4.jpg,CTP20110____CTP20110_pk, printed kurta,"PKR 2,000",womens top,BROWN,18
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/t/ctp20116_4_1.jpg,CTP20116____CTP20116_pk, printed kurta,"PKR 2,500",womens top,BLUE,"6,10,12"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/t/ctp20117_4.jpg,CTP20117____CTP20117_pk, printed kurta,"PKR 2,000",womens top,"PURPLE,GREEN","10,14"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etp20104_1_1.jpg,ETP20104____ETP20104_pk, printed kurta,"PKR 2,000",womens top,"GREEN,BEIGE",12
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/t/ctp20118b_4_2.jpg,CTP20118____CTP20118_pk, printed kurta,"PKR 2,500",womens top,"WHITE,BEIGE","6,8,10,12,14,16"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etp20126_1_1.jpg,ETP20126____ETP20126_pk, printed kurta,"PKR 3,399",womens top,"PURPLE,RUST","6,8,10,12,14,16,18"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/k/d/kdp20108_5.jpg,KDP20108____KDP20108_pk, printed kurta paired with dupatta,"PKR 3,399",kurta dupatta,ORANGE,10
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/k/d/kdpe20107_1.jpg,KDPE20107____KDPE20107_pk, embroidered kurta with dupatta,"PKR 4,400",kurta dupatta,BLUE,"10,12"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/k/p/kpech19548_blue_4.jpg,KPECH19548____KPECH19548_pk, embroidered kurta with pants,"PKR 4,400",kurta pajama,BLUE,"10,18"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/k/p/kpech19549_grey_1.jpg,KPECH19549____KPECH19549_pk, embroidered kurta with pants,"PKR 5,000",kurta pajama,GREY,6
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/k/p/kpe195190__blue_4_.jpg,KPE195190____KPE195190_pk, embroidered kurta with pants,"PKR 5,000",top and bottom,BLUE,10
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/k/p/kpe195191_red__3_.jpg,KPE195191____KPE195191_pk, embroidered kurta with pants,"PKR 4,400",top and bottom,RED,"10,12"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/k/p/kpe195192_beige__4_.jpg,KPE195192____KPE195192_pk, embroidered kurta with pants,"PKR 4,400",top and bottom,BEIGE,10
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/k/p/kpe195193_white__4_.jpg,KPE195193____KPE195193_pk, embroidered kurta with pants,"PKR 5,000",top and bottom,WHITE,10
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/k/ckpp20106_4.jpg,CKPP20106____CKPP20106_pk, printed kurta with pants,"PKR 4,801",kurta pajama,BLACK,"8,10,12,14"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/k/ckpp20111_offwhite__1_4_.jpg,CKPP20111____CKPP20111_pk, printed kurta with pants,"PKR 4,801",kurta pajama,OFF-WHITE,8
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etb19105_blue__1_.jpg,ETB19105____ETB19105_pk,basic broshia kurta,"PKR 2,280",women top,BLUE,"16,18"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etb195116_1.jpg,ETB195116____ETB195116_pk,basic jacquard kurta,"PKR 3,800",womens top,BEIGE,6
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etb195117_1.jpg,ETB195117____ETB195117_pk,basic jacquard kurta,"PKR 3,800",womens top,BLUE,"6,10"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etb195118_4.jpg,ETB195118____ETB195118_pk,basic jacquard kurta,"PKR 3,800",womens top,OFF-WHITE,"8,12"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etb20101_green_3.jpg,ETB20101____ETB20101_pk,basic brosha kurta,"PKR 3,200",womens top,GREEN,"6,10,12,16"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etb195119_4.jpg,ETB195119____ETB195119_pk,basic jacquard kurta,"PKR 3,800",woman top,BLUE,"8,10,12,14"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/w/t/wtp19201_grey_5__3.jpg,WTP19201SL____WTP19201SL_pk, printed kurta,"PKR 1,425",women top,GREY,12
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/w/t/wtp19309_green__1_.jpg,WTP19309ASL____WTP19309ASL_pk, printed kurta,"PKR 1,596",women top,GREEN,12
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etp195132_4.jpg,ETP195132____ETP195132_pk, printed kurta,"PKR 2,000",womens top,BLUE,10
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etp195133_black_pants_4.jpg,ETP195133____ETP195133_pk, printed kurta,"PKR 2,000",womens top,"RED,GREEN","6,8,10"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etp20113_4.jpg,ETP20113____ETP20113_pk, printed kurta,"PKR 3,399",womens top,"PURPLE,GREEN","6,10,12"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etp20112-blue_1.jpg,ETP20112____ETP20112_pk, printed kurta,"PKR 2,500",womens top,"PINK,BLUE","6,8,18"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/1/5/159a5185_2.jpg,CTP20104____CTP20104_pk, printed kurta,"PKR 3,000",womens top,"PINK,GREEN","6,8,10,12,14,16,18"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/k/p/kpp20106_1.jpg,KPP20106____KPP20106_pk, printed kurta with pajama,"PKR 3,399",kurta pajama,RED,12
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/f/s/fspe19546a_blue_2.jpg,FSPE19546____FSPE19546_pk, embroidered full suit,"PKR 3,200",full suit,GREEN,"6,8,10"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/ete20102_4.jpg,ETE20102____ETE20102_pk, embroidered kurta,"PKR 3,900",womens top,PINK,12
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/ete20103_1.jpg,ETE20103____ETE20103_pk, embroidered kurta,"PKR 4,200",womens top,BEIGE,"6,8,10,12"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/k/ckppe20175_1.jpg,CKPPE20175____CKPPE20175_pk,printed kurta with pants,"PKR 5,000",kurta pajama,ORANGE,"6,8,10,12"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/f/s/fsp20159_1.jpg,FSP20159____FSP20159_pk,printed full suit,"PKR 5,400",suits,MULTI,"6,10"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/ete20171_4.jpg,ETE20171____ETE20171_pk,embroidered kurta,"PKR 3,900",women's top,BEIGE,"6,8,10,12,14"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etpe20151_green_4.jpg,ETPE20151____ETPE20151_pk,print embroidered kurta,"PKR 6,200",women's top,"PURPLE,GREEN","8,10,12"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etp20165_pink_1_2.jpg,ETP20165____ETP20165_pk,printed kurta,"PKR 2,400",women's top,"PINK,PURPLE","8,10,12,14"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/etp20173_blue_1_7.jpg,ETP20173____ETP20173_pk,printed kurta,"PKR 2,900",women's top,"RED,BLUE","6,8,10,12,14,16,18"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/ete20167_white_1_2.jpg,ETE20167____ETE20167_pk,embroidered kurta,"PKR 3,900",women's top,WHITE,"8,10,12,14"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/e/t/ete20168_red_1_2.jpg,ETE20168____ETE20168_pk,embroidered kurta,"PKR 4,500",women's top,RED,"8,10,12,14"
https://d1q84aht4jl65y.cloudfront.net/media/catalog/product/cache/b04156bceb240ec6d072f75eedcd9bbc/c/t/ctpe20153_black_1_2.jpg,CTPE20153____CTPE20153_pk,embroidered kurta,"PKR 5,400",women's top,BLACK,"6,8,10,12,14"
